Kapampangan,English
Alduc,"Calduc, one gulp"
Ali,"Of negation, no, not"
Aliad,Manalid
Alibasbas,"Whoozing sound ofaslingshot releasingamissile / stone, orabird swooping by / flying swiftly"
Alibub,Burning feeling
Alibungbung,"Resounding loudly, as fromabell oradrum"
Alicabu,"Malicabu, m inalicabu, dust swirling / flying"
Aligapgap,"Aligapgapan, worried or solicitous about many things, troubled by many cares"
Alili,One who places himself thus
Alimasag,sea crab
Alimbaua,"Comparison, example, simile, model"
Alimbucay,"Malimbucay, minalimbucay, to stir from bottom to top, like, meat that is boiling, or water that falls precipitously over the bank or dike; malibucay asalo, the chest is astir, stirred up by anger or heavy grief"
Alimbuyu,"Fright, terror"
Alimit,"Sultry weather; Malimum, minalimum, the vapor exhuding from the ground afterasudden shower during dry season, it penetrates / seeps into enclosed places"
Alimpuyu,"Alimpuyuan, one who hasamole/moles, or marked with 18 moles"
Alimpuyut,"Swirling of swift waters, like, at the rudder, when the banc, or boat is moving fast"
Alinguing,"One who bites his lips, while being whipped or while in pain"
Alingit,to whisper a request so as not to be heard by others nearby
Alinlangan,"M alinlangan, embarrassed, disturbed, harassed, agitated"
Alingongao,Or Aligogo
Alingongong,"Murmur, whisper"
Alintuang,"Noise / sound of quarreling, malintuang and its infinitive, to makeanoise while quarreling"
Alipan,A slave
Alipis,"Root, m"
Alipit,"To afflict or to torture, in order to make one admit or declare"
Alipugpug,"Dust, Synonym of Alicabu"
Alipsusu,"A djective, means/ contri vanees/scheming of the poor"
Alipup,"Hot vapor exhuded by the body, Malipup, minalipup, to exhude such vapor"
Alisuas,"Malisuasalub, one burning with internal warmth / restless emotionally"
Alisus,"Whirwind, Malisus, (mamalisus), m inalisus, to haveawhirlwind; malisusya inam, said of one who breathes rapidly that there is hardlyarespite or interval between one breath and another, like, one so fatigued / weary"
Alit,"Cunning scheme to deceive, like that of the devil, Pialitan, pialit, the deceived one; Pamialit, pemialit, the schemes, like, tem ptations"
Alitut,"The breathing of one sleeping quietly: Malitut, minalitut, malitutyang matudtud"
Aluja,"Other, different"
Alo,"Pestle, companion to the asung, mortar"
Alpa,Boiled food
Alpac,"Mamalpac, memalpac, to causeacrashing sound / noise, likeabook that falls / drops on the floor, or rushing of water"
Alpit,"Calpit, sound ofahard slap, orarap with knuckles: Mamalpit, memalpit, to sound thus, like the strike ofadoor latch, or the trigger ofashotgun"
Alpuc,"Sound of the water, like during the rowing with an oar, or when fish makealeap on the waters surface, flapping their tails, without lifting their bodies out of the water"
Alsic,"Root, m"
Alsut,"Lalsut, linsut, lunsut, similar to alput, to pierce thru, to slip throughanarrow way, likeacats hole, to pierce to the other side, likeathorn or spike that is driven in and pierces to the other side"
Altao,"Laltao, lintao, luntao, to float, to come out, what was contained inside, like, measles, small pox, pregnancy / gestation"
Alti,"Thunderbolt, lightning"
Altoc,"Mamaltoc, memaltoc, maltoc, sound of cracking knuckles"
Al-Lua,"Sandbar, or mouth of the river"
Alub,Embellished in the forge
Aluc,Grapplehook of the anchor
Alucay,"To turn up and down, to stir while mixing, like, stirring soup withaspoon"
Alug,"To wade across shallow water, causing some disturbance on the water"
Aluyun,"The wake, or track on the water left byaship or by anyone that had passed through it"
Alulud,"Gutter, made of bamboo, or wood"
Alulung,The howling / barking ofadog
Alumalum,A ball/ball game played by boys
Alumemay,"And Calumemayan, noun"
Alon,"Mialonan, one caught/ reached by the waves"
Along,"Alungalun?an, that with which one frequently plays or entertains oneself"
Alun?En?Ay,"A distant echo, weaker than Alingon?ao"
Aluntiag,Green in texture / fabric
Alus,"Pangalus, leveler"
Alutactac,"The docket or stand foralance, crozier, or cane"
Amad,The thin film under the skin
Amalang,"Forgotten verb, Mayayamalang, N eutral meyamalang, to become forgotten, neglected"
Amanan,a defective root word; used in verbal constructions
Amanu,"Mangamanu, to speak, Manamanu, to speak loud reprimandingly"
Amas,portion of the bride price given to the mother of the bride
Amasamas,"Equal, similar"
Ambal,"Obstacle,, also, impediment"
Amban?An,"Impediment, same in all aspects as Ambal, its synonym"
Ambi,The wing or extension of the house
Ambugao,"Tumult of the people, uproar"
Ambul,Manambul
Ambula,"Soup, or something mixed with the broth"
Ambon,Dew in the morning / morning dew
Amian,"The north wind, Amianan, the north, or, the northern part"
Amil,"Said of one who swallows food immediately, without masticating with the teeth"
Amius,Snorting sound of beasts
Amlit,Thing done in secret
Amlug,"Or Abloc, which is preferred in use"
Amo,"Camo, meekness"
Amog,Dampness on stone or wood
Ampa,"Defective root, Ampa yampa, Miyayampa, to become perplexed, or hesitant"
Ampang,"(it follows the actives of Mi, transitive)"
Ampat,"For, since"
Ampil,"Transitive verb, to clear, remove people from the way, to clear the table afterameal; active infinitive: manampil"
Ampit,"To stop over inaplace, a house, while traveling"
Ampo,"Payampo, Papayampo, to speak submissively"
Ampog,Or Apog
Ampulas,To smear with pitch
Ampon,conjunction meaning and; also: orphan; to adopt a child
Amuyam,sponge
Amuyut,to attract or charm a person
Amut,communal contribution; to pool resources together
Anac,child; son or daughter; infant
Anad,white ants; termites
Anam,sixth; the number six
Anao,a type of forest palm tree
Anas,manner; custom; habit
Anat,a section of wall under repair
Ancad,stiff; motionless; to stiffen
Anding,interjection of affirmation; yes indeed
Ando,fighting cock matched for battle
Anib-Biong,a hardwood post tree with male and female varieties
Anibong,wild palm tree; starch (yoro) is extracted from its trunk
Anig-Guan,A species of bee
Aninao,"Shadow, also the figure, or image reflected in the mirror, or when one looks at his reflection in the water, man?aninao, men?aninao"
Anid,Suspicion
Anito,"Soul of an ancestor, nono"
Anloagui,Carpenter
Anon,A tree called by this name
Anonas,"A tree and its fruit commonly the client, known"
Anta,"Maanta, what smells rancid, or in the state of racidity, past, meyanta"
Antac,"Maantac, to feelapiercing pain: Pangantac, the pain, or manner, or how, of anguished love"
Antala,"Transitive verb, to distract, to divert, to delay, to put off, to disturb, to interrupt"
Anti,What is taken for another thing
Antipa,"Living things like tortoises, turtles and the bigger shells and stronger ones"
An?Ab,"Be with the mouth open, like, a birdling being fed by the parent bird, or an infant waiting to suck its mothers breast; mian?ab an?ab, to remain with the mouth open likeabirdling that was not givenapeck of food, orababy who was not givenasuck from the breast"
An?Ay,"Yellow root, similar to saffron, used to color food.; an?ayan, inangayan, the food in which it is used"
An?Ao,"Noise / bustle of celebration; miangao, those bustling inacelebration; piangauan, piangao, that which is celebrated with such bustle, like a Baptism etc"
An?Ap,"Anxious / eager to eat, drink"
An?At,Or Mangat
An?In,The wind
An?It,A mixture of lacatan and sugar
An?O,"That with which it is drawn out, like, a rope to draw out water from the well, or the motive"
An?Us,"An?usan?us, like s?m?as?m?a"
An?Ut,"An?utan?ut, walking leisurely, pausing at every step, like man?utan?ut"
Angcac,"To expectorate phlegm, or saliva 27 g-ggand retch to vomit it out"
Angcup,"Pincer, or clamp for holding firmathing in order to work on it"
Ang-Ga,"Usque, up to, until, as far as"
Ang-Galang,"Contradiction, greater than along, lesser than sang-galang"
Ang-Gui,"Rain driven by the wind, like throughawindow"
Ang-Gud,Clinging thistles
Anglab,"To eat meat or fish without rice, but drinking wine"
Anglap,"Canglap, suspicion, wariness, foreboding or fear: manglap, minglap, one who fears, or is afraid, and also, cacanglap, quinanglap, cumanglap, is wary, was wary, will be wary"
Angli,Mansli
Anglit,"To execute, 28 g A beforeystrangle"
Anglon,"N eutral verb and its infinitive, to become curled / warped, like, string that is tightly reeled, also, the hide, or skin when it dries"
Anglop,Mamlov
Anglut,"To become irritated or angry, withagesture of threat, be itaman orabeast; mianglutanglut, frequentative, not frequently used"
Angpad,"Dicitur etiam de meretrice, (it is also said ofaprostitute)"
Angsad,Body odor / the smell of the underarm
Angsul,"Cangsul, disgust, or vexation"
Angtabay,"Aspect or figure, shape, appearance, character; cayuan, the same"
Apa,"The hull ofpalay, or the chaff"
Apag,"A thing placed on, like, food on the table"
Apalya,"A bitter gourd, balsam- apple; verb, to pluck or gather it"
Apalit,A tree known for its hard timber
Apap,A white sea-bass
Apas,To cut downathing that is growing
Api,fire
Apia,"Manapia, to squeeze or press in order to draw out the juice or moisture ofathing"
Apiac,Defective root
Apiap,Mapiap
Apis,Manapis
Apit,Manapit
Apius,"Miapiusapius, piapiusapius"
Aplac,"To appease an angry person, or to controlagreat fire"
Aplas,"Capias, grief, stinging pain"
Aplit,"Caplit, hardness of heart, maplit \ alub"
Aplus,Maplus
Apno,"Mapapno, mipno, cacapno, quinapno, cumapno, to fill up, or become filled up, like, a glassof water"
Apo,grandparent; respectful address for an elder or a priest
Apulu,"Ten; Capulo, the tenth; sicapulo, the tenth part or one-tenth, the tithe"
Apsal,Manapsal
Apsang,Tiny lice on chickens and other tiny insects similar to them
Apsao,"Cacapsauan, quipsauan, capsauan, a sick person whose fever seems to subside toatertian ague"
Aptas,A bundle
Apuap,"Miyapuap, miapuap, to fill something to its capacity, like, a chest; lulanca anggan miapuap, fill it up as long as there is room; e na miyapuap, cannot be contained, there is not enough room, that is, it cannot contain more, it is filled up to the brim / to overflowing"
Apuas,"The soil, oraheap, stack of palay"
Apulid,"Root ofagrass which is edible, verb, manapulid"
Apus,"And maqui, to imitate, (mamapus"
Ara,"Mangar, men?ar, to rely / to put trust in something, like in something the priest, the town chief, the alcalde has"
Aray,The straw of the palay
Aral,"Old clothes, rags or burlap"
Arang,To wait for the passing by of another
Arap,Presence
Ari,"The king; Mag-ari, to reign; P"
Aroy,Or Aray!
Aron,"The nose, or the snout ofabeast, which is its nose"
Aruc,Transitive verb
Asa,Hopeful desire
Asac,"Casac, density, thickness"
Asad,"Laid out, like, flowers, branches, or leaves in the form ofacarpet"
Asay,"To spread in rows to dry, like Ilib"
Asag,the one who is incited or provoked
Asal,"Custom, (mos,moris) proprieties / characteristics"
Asan,fish
Asang,"Gills of fish, the catches, or moles ofapadlock"
Asap,smoke
Asaua,husband or wife; spouse
Asbo,fatty layer inside a coconut shell
Asboc,mouth; opening of a jar or vessel; (figurative) gossiper
Ascad,to be scattered or spread about
Ascay,to imitate or take after the manners of another
Ascal,the person one is quarreling with
Ascop,narrowness; constriction
Asdal,to stop; to desist; to detain from a course of action
Asdap,Manasdap
Asdo,to press down or tighten fabric for packing
Asiang,Isvang
Asiao,hooting of an owl; hissing of a snake or insect
Asias,hardness; rigidity
Asiad,to push or slide something forward
Asic,seed-sowing time for rice (carayuman variety)
Asin,salt; to salt food
Aslac,bags under the eyes; dark circles from illness or lack of sleep
Aslag,"ray of light (sunlight, candlelight, daylight)"
Aslam,vinegar
Aslat,crevice; crack; narrow passage
Aslut,"Miyayaslut, mislut, miaslut"
Asna,fullness; satiety
Asn?A,sneeze; to sneeze
Asn?Ao,gain; usefulness; benefit
Asnoc,ennui; tedium; boredom
Aspa,"Maspa, regular"
Aspac,broken; cracked object
Aspat,something that slips or escapes gently
Aspi,"(APSI, sic)"
Aspili,pin; also a pin made of bamboo
As-Suay,comb (for hair or for rice fields at sowing time)
As-Sual,to pierce through; to bore a hole
Asuang,aswang; a creature in folklore believed to fly at night and prey on pregnant women
As-Suas,Ivassuas
Asuas,to rub or dust with a rag
Asug,one afflicted with a bad disposition or temperament
As-Suit,Manassuit
Asung,"high tide; the moment the tide is at its fullest, neither rising nor falling"
Atab,small specialized knife for cutting grain spikes at harvest
Atad,to bring or carry something to a destination
Atag,the one importuned or invited
Atay,liver; center of a mold for sugar; center of the sole of a foot
Atan,to stop; to cease; to suspend an action
Atang,"a dead body or tree trunk laid across a waterway, blocking the flow"
Atap,roof; roof covering
Atas,height; high; elevated
Atat,gnawed object; something chewed on
Atbac,skewer or spit for roasting meat
Atbi,Matbi
Atbu,sugarcane
Atbud,rotten; decayed
Atbus,Tumbus
Atcan,Tiquin
Atclac,"Catlac, deafness; matlac, deaf"
Atdac,to push a pole against a riverbank to propel a boat
Atdas,"Busted object, or the bursting of an object, like, a shotgun, the skin, or ofasack"
Atdo,gall; bile
At-Tia,"Cat-tia, a drop"
Atiab,"Regular, or, Itatiab, itiab, the boat; pitiaban, piatiaban, the place"
Atian,belly; womb; pot-bellied (mayatian); those born from the same womb (cayatianan)
Atias,Synonym of asias in all aspects
Atic,"Transitive verb, to drizzle, small drops of rain, sparse but constant"
Atling,Shrillness / shrill sound
Atlo,"Three; catlo, the third; sicatlo, the third part, one-third"
Atni,"Catni, abstract, shrillness ofasound"
Ato,"Remark, observation, note"
At-Tua,"Regular, or, tat- tua, tin-nua, tun-nua, to dispute"
At-Tuas,seesaw motion; alternating up and down like a balance scale
Atul,"Final decision, sentence, or resolution, as inadoubt, or consultation"
Atut,"To fart, it is common to all"
Aua,"G ., you infect me with your ringworms, I infect you with my mange; iyayaua, inaua, iyaua, one gets implicated, or hitched toacrime or its punishment, inauanaco quetang casalanana, inauaraco quing dusana, meuaco quing metung at metung, he implicated me with his crime, they involved me with his guilt/ punishment; I got implicated with all the others"
Auay,"Rattan, it is what the manibulus carry asacane, or driving stick"
Aual,To slow down the banca by impeding it with the oars
Auang,"Window, its hollow"
Auat,Manauat
Auig,"Something similar to another, or at par with another, like, the Pampango language and the Tagalog language, in those words that sound almost the same, like: Senhor in Portuguese and Seor in Spanish"
Auoy,"Legumes, vegetables"
Aun,"Pit, hole, burial place"
Aubvg,"It is that something one has, like some interest that may attract, be of some value: the end, or the intent"
Auit,"Riddle, or metaphor in verse, like giving congratulations"
Auo,"Cauo, thirst"
Babad,soaked; steeped in liquid
Baba,chin
Babay,woman; female; femininity
Bababa,to announce a date; to give notice of a coming feast or event
Babao,sash; girdle; belt
Babi,pig; pork
Bacay,bamboo (used as building material)
Bacal,iron; to iron clothes
Bacam,footprint; track; trace left behind
Bacao,a nocturnal bird that sleeps by day and forages at night
Bacbac,stripped bark; peeled; denuded surface
Baclad,fish trap enclosure or pen
Baclas,That with which; P
Baclong,hip joints
Bac-Cuay,long and lithe limbs; to carry something long and flexible
Bacsa,spread all over town; publicly divulged or defamed
Bacsao,manacle; handcuff; bracelet
Bacting,small bell
Bacud,fence; wall; enclosure
Bacuit,a small species of bird
Baculud,highland; elevated flat land surrounded by lower terrain
Bacung,a medicinal herb
Badbad,a species of sea fish
Bad-Dia,to go back and forth repeatedly
Baga,ember; burning coal; lungs
Bagac,something mortifying or hurtful
Bagay,kind; type; class; suitable; fitting
Bagang,molars; back teeth
Bagat,parting gift given to a guest as a token of appreciation
Bagcat,paste of toasted corn ground with honey
Bagcus,rather; instead (adverb of preference)
Bagsay,short oar; paddle
Bagsic,fierceness; ferocity
Bagu,new; recently; just now
Bagua,"Spider; balaybagua, spiders web"
Bag-Gua,Mibabag-gua
Baguc,"Brine, pickle"
Bagui,Continuation
Bag-Guia,"Hardly, scarcely, no sooner than"
Bag-Guio,"Typhoon, strong winds, hurricane, strong storm"
Bagut,"Past tense, Megut"
Baya,"Red-hot coal, ember"
Bayabas,"Guava, the tree and its fruits; verb, to pick the guava fruits"
Bayad,"Infinitive, bavaran, to pay debts"
Bayag,Testicles
Bayani,"Valiant: mabayani, of abundance in valor; cabayanian, abstract term, heroism, rarely used"
Bayao,"Brother-in-law or sister-in- law; mibayo, brothers- or sisters-in-law; mibayao cata, I am your brother-in-law, you are mine"
Bayat,"Heaviness; mabayat, heavy"
Bayi,bow (the weapon); to be armed with a bow and arrows
Baimbinan,"A small bell, a sleighbell"
Baynauan,"Bamboo pole used for fishing, fishing rod"
Bayo,"To make new, to renew"
Bayoc,"Past, Meyoc"
Bayocbuc,a cloth head covering knotted under the chin; a hood or cowl
Bayuguin,"Cowardly, coward"
Bayong,The same as Balt
Bayongyong,"Macabayongyong, be in suchaposture, like an old man, oratree branch"
Bayotoc,"Loincloth, or loin covering"
Bala,to ask for an advance payment on the cost of harvesting
Balaba,"To fell wood, like guava trees in an orchard"
Balabag,A snake that jumps when being struck
Balabat,"Crossbar, or horizontal rodof the dingding, passing through the dalarac\ Balabatan, belabatan, the dalaracs, the window frame or the framework across which it is placed / transversed"
Balac,"The measure, like the yardstick, or the ganta ( local masure of capacity for cereals or liquids); P"
Balaclaut,Wind coming in from the sea; isacombination of balac and laut
Balacsay,Ibalacsav
Balad,"Frequentative, baladbald, stains of different colors"
Baladbad,"Physical stains or moral stains, which are hardly perceived, they stand out vaguely: alan baladbalad, like, a sheet of cloth, oraface, orawoman"
Balag,To let fall
Bala?A,"Rats, dumb species that do not feed on palay, and also the droplets sprayed byaheavy shower"
Balagbag,The cross beams (soleras) or ribbing laid out under the landay
Balayi,Reciprocal name for parentsof amarried couple
Balaing,To string up salted beef and hang it for drying
Balayon,"Malayon ca, go on, or come forward"
Balam,"The delay, detainment"
Balanac,A river fish
Balandang,"The motive, like the chips scattering or or flying off"
Salanga,"Clay pot to cook viands / victuals, like fish or meat, but not rice"
Balangbang,"A fence to obstruct passage, and from this evolves, to correct bad behaviour, to prevent or to oppose them, an active verb, and its infinitive, malansbans"
Balangcad,"Skipped space in doing some labor, as withaplow orahoe in clearing the field, leavingaspace uncleared, this is balangcad"
Balangcas,"And Mi., to lay out pieces of wood, lumber on the ground for the purpose of putting up the framework forahouse"
Balangcat,"Tangcal, where the pots are stored"
Balangdaya,confused amid noise; coming in to help amid commotion
Balan?I,"Pibalan?ian, pibalan?i, the spot where they get separated or parted ways"
Balangubang,"Bee eaters, an insect smaller than theparangparang"
Balang-Gut,A plant /weed known to thrive on riverbanks
Balantacan,A plant which bears seed-fruits which are like white beads
Balantan,Stain onabadly- dyed object
Balangtay,Ibalanstav
Balantic,"A stroke with something swung in an arched motion so that its tip falls with great violence / violently; from this, arches are also called balantic"
Balap,Interjection: of encouragement to work / act while there is still time
Balaquid,Ibalaquid
Balas,"Sand, which is mixed with lime for construction work"
Balasbas,"And its infinitive, malasbas, to go throughawinding path, or take another road that is not familiar to you: of the sun, when it changes its path during the season of shorter days, they say: Balasbas ya ing aldao"
Balasini,"Ancient tiles; they seem to wear out easily, they do not last long; very few are available now"
Balasusan,"Magbalasusan, to be so preoccupied with some task"
Balat,"Hide, skin, peeling, husk, bark"
Balata,"Magbalata, a kind of mourning, carried on until vengeance is exacted"
Balatay,"Props, like bamboo poles, placed as rollers underacrate, or heavy object being moved to another place or spot"
Balatbat,"To disturb, or, to distract from what one is doing, as happens in the course of the day, while one is writing or praying, he is called by someone, or is distracted by various kinds of imaginations"
Balatong,"Mistake, fault, physically or morally, inadvertently makeamistake, like in writing"
Balatung,"Mongoes, a well known plant, useful asamedicine, or, for washing colored clothes without fading the colors, according to the Flora, page"
Balauay,"A hawk / falcon, and by extension, a birdof prey"
Balaum,"Deep miry place, a hole, pit, and alsoatrap, which isapozoadeep hole or pit with water to catch foxes or wolves"
Balaus,"To proceed or push through till the end, like, a work, oraroad; it is also said of pssing through, likeanail, peg, stake, but it is more proper to use tagpus here"
Balbal,"Broken, like aplate, earthenware, stone, oracane broken lengthwise, orabamboo pole, cracked lengthwise"
Baldug,Ibaldus
Balebay,"A cluster of coconuts, or luyos (betel nuts) or sasa (nipa fruits); cabalebay, a single cluster; verb, the tree bears them"
Bali,to put inside or place into something
Balibag,"Bad pronunciation ofalanguage, like a Zambal pronouncing the Pampango language"
Balibago,"A tree and its hemp, or fiber"
Balibid,"A snail, of the long variety, with spiraling shells"
Balibul,A drill or borer
Balic,"One who turns back, or what is turned back, like, when you are holdingabook opened at its last pages, and you want to read the foregoing pages, ibalicmoya"
Balicascas,"A hoop, made of wood or metal, like that ofatobacco pipe, oracask / barrel"
Balicat,"Or Baligat, the clavicle or bone from the shoulder to the chest; verb, becomes evident or prominent in lean persons"
Balicocao,Ibalicocao
Balictad,"A thing turned upside down, inside out"
Balictaon,"The coming year, counting back the years"
Balic-Cuas,"A perverse person, dishonest, double-faced, double-dealing"
Balicungcung,Ibalicunecum
Balid,"A wild and pungent buyo, betel leaf"
Baligao,"To deceive, by givingacat instead ofarabbit or hare, a monkey in place ofadeer; passive, the monkey, or lead in lieu of silver"
Balila,"The shuttle used in tighteningaplait, as in weaving; alsoaquarter or slice of an orange, from which evolves, Balil: cabalil, a single slice of an orange"
Balimbing,"Birinbines, a well known tree whose fruit and flowers are useful in medicine, dyers shops, and used asastain remover for clothes"
Balinas,"Micabalinas, cross paths, as when one goes and another comes, like in visiting monuments"
Baling,That which / one who; P
Baling-Gui,"To turn aside, as one who turns his face to the side"
Baling-Guit,"Maca, to make that movement or motion, like one who wants to maintain his pride"
Balingling,A species of reed used to tying the nipa roofings
Balintuad,"To turn upside down, to tumble, feet above and head below, includingalarge earthen jar"
Balira,"An impertinent matter, without any basis, dispute, rarely used"
Balisa,"A djective, disturbed, disquieted"
Balisasao,A urinary trouble / ailment
Balisbis,eave or edge of a roof; where rainwater drips off
Balis-Suag,"Ibalis-suas, to scatter, likeastrong wind scattering the nipa roofing or the loose pages ofabook And from this evolves, that which lifts to scatter or fling"
Balisungsung,"A paper comet oracontainer for buyo (betel leaves) orathing its of the same mould like in lands, not in clothes"
Balita,"News, information, like those brought in by the galleons, or the gazettes.Verb, mamalita"
Balitang,The steps ofaladder or of the stair
Balitcayo,"Transform ation, transfiguration"
Baliti,"The balete, a tree well known"
Balit-Tio,Ibalit-tio
Baliuas,Merchandise
Balo,"Defective passive, to know, inawide sense, knowledge acquired, not scientifically nor by the arts, which is biasa; baluco, ecobalo, I know, I do not know, in the sense mentioned: abalo, nanutang abalom ol What have you learned or found out?"
Baltang,"To pass through the middle ofagulf and through danger, not by the seashore, where there is none"
Baluat,Bar across the door or window
Balubad,"Cashew, a well known tree"
Baluc,Outer side of the bamboo
Balucay,to untangle or loosen something knotted or coiled
Balucanag,"A tree and its fruits, well known because from its fruit they could extract oil that is good for galagala, w aterproofing"
Balucas,"That which is unfastened; M i, neutral, become unfastened; lea, the cause"
Baluctut,"Ameasure that is less thanajeme, because the index finger is bent"
Balucuc,a tree with sour fruit; (figurative) two people who are on sour or peevish terms
Balud,Half-breed of Zambal and negrito; mountain people
Baluga,Black people in the mountains
Balugbug,"Mamalugbug can matlac, to be deaf in both ears, or become deaf"
Balugsay,Ibalussav
Balul,Cuts of meat or fish
Balulang,"Hem or border made of rattan, like those ofacarang, to prevent it from unraveling"
Balonbalonan,"The gizzard, like that of the chicken"
Balongbalong,"Ashed, like, a shed for bancas"
Balungbung,"Hut, shanty, used as shelter from the elements, or to sleep in the mountains"
Balun?Us,"The border of the lips, border ofalarge earthenware jar, and snout (thick-lipped mouth ofaman)"
Balungquit,"The crossbars of the rafters, or the sangcal that encases them"
Balus,Ibalus
Balusbus,to slide down; to slip off
Balut,"Fodder / grass with tangled roots, alias, luyaluya"
Baluti,breastplate; armor; to wear a breastplate
Bana,"Lowland, marshland; mabana, very swampy"
Banacal,"Timber with white wood, judged as not as solid as the rest, like, the mitla, antipolo, molave"
Banayad,"Banayadaangin, neither weak nor strong, but moderate, like the morning breeze; banayadalub, of serene disposition, unperturbed, neither precipitative nor hesitant"
Banal,"Just, virtuous, holy"
Bancal,A common tree
Bandala,"To sell by proper distribution / assessment / allotment, the bamboo poles that are shipped to Manila, or the palm-mats from Candaba"
Bandi,"Property, plantation, ranch, estate"
Bani,A well known tree
Banias,"Iguana, alias Barag"
Banis,"Semen; Mi with an, rarely heard, because each one isadirty word"
Banlao,"And its infinitive, manlao"
